Reversed Depth(mm);Water Content (%);Depth (mm);Water Content (%);Depth (mm);Water content (%)
28.0;57.3%;323.6;41.7%;0;81%
55.0;59.9%;300.8;42.7%;300;81%
85.0;59.5%;278.0;44.7%;;
112.0;57.6%;255.2;46.3%;;
139.0;54.4%;232.4;46.3%;;
167.0;52.5%;209.7;48.1%;;
194.0;50.5%;186.9;49.0%;;
219.0;48.5%;164.1;52.5%;;
247.0;47.0%;139.0;53.8%;;
277.0;45.3%;113.9;54.2%;;
305.0;44.2%;91.2;60.4%;;
333.0;42.8%;68.4;60.6%;;
;;45.6;60.9%;;
;;22.8;58.4%;;
;;5.7;52.7%;;
;;0.0;64.4%;;
;;0.0;63.2%;;
